,ID,Name,Rating
0,1,Agile Web Development with Rails: A Pragmatic Guide,5
1,1,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",5
2,1,Siddhartha,5
3,1,The Clock of the Long Now: Time and Responsibility,4
4,1,"Ready Player One (Ready Player One, #1)",4
5,1,"The Hunger Games (The Hunger Games, #1)",5
6,1,"The Clue in the Embers (Hardy Boys, #35)",5
7,1,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,5
8,1,"The Clue of the Broken Blade (Hardy Boys, #21)",5
9,1,"The Clue of the Hissing Serpent (Hardy Boys, #53)",5
10,1,"The Clue of the Screeching Owl (Hardy Boys, #41)",5
11,1,"The Return of the Indian (The Indian in the Cupboard, #2)",5
12,1,The Name of the Rose,3
13,1,"Blue Mars (Mars Trilogy, #3)",3
14,1,Give and Take: A Revolutionary Approach to Success,5
15,1,Mindset: The New Psychology Of Success,4
16,1,Bad Blood: Secrets and Lies in a Silicon Valley Startup,4
17,1,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, #2)",3
18,1,A Short History of Nearly Everything,5
19,1,"The Mystery of the Spiral Bridge (Hardy Boys, #45)",5
20,1,"The Collapsing Empire (The Interdependency, #1)",4
21,1,"Showdown at Centerpoint (Star Wars: The Corellian Trilogy, #3)",3
22,1,"The Mysterious Caravan (Hardy Boys, #54)",5
23,1,"Angels & Demons (Robert Langdon, #1)",4
24,1,"The Return of the King (The Lord of the Rings, #3)",5
25,1,"The Girl with the Dragon Tattoo (Millennium, #1)",5
26,1,"The Murder on the Links (Hercule Poirot, #2)",3
27,1,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5
28,1,"Thunderball (James Bond, #9)",4
29,1,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,4
30,1,"La Belle Sauvage (The Book of Dust, #1)",4
31,1,"Mockingjay (The Hunger Games, #3)",3
32,1,"Moonraker (James Bond, #3)",4
33,1,Moon Handbooks South Korea,4
34,1,King Leopold's Ghost,4
35,1,Concurrent Programming In Java: Design Principles And Patterns,4
36,1,"Simplicity Parenting: Using the Extraordinary Power of Less to Raise Calmer, Happier, and More Secure Kids",5
37,1,"Pirate (Alexander Hawke, #3)",1
38,1,Babar and His Children,5
39,1,Conartist,5
40,1,"Kiss the Girls (Alex Cross, #2)",3
41,1,The Rails Way,4
42,1,The BFG,4
43,1,"The Golden Compass (His Dark Materials, #1)",5
44,1,The Razor's Edge,5
45,1,"Ready-to-Use Old-Fashioned Illustrations of Books, Reading and Writing",4
46,1,Monsoon (Courtney #10),3
47,1,Babar and Zephir,5
48,1,To Kill a Mockingbird,5
49,1,Babar the King,5
50,1,The Goal: A Process of Ongoing Improvement,5
51,1,The Chronicles of Narnia: Including an Essay on Writing by C.S. Lewis,4
52,1,A River Runs Through It,5
53,1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",5
54,1,"The Religion (Tannhauser, #1)",4
55,1,The Giving Tree,5
56,1,The Remains of the Day,5
57,1,The Circle,4
58,1,"A Dance with Dragons (A Song of Ice and Fire, #5)",5
59,1,"Danger on Vampire Trail (Hardy Boys, #50)",5
60,1,The Godfather,5
61,1,Where the Red Fern Grows,5
62,1,"The Rise of Endymion (Hyperion Cantos, #4)",5
63,1,"Go To: The Story of the Math Majors, Bridge Players, Engineers, Chess Wizards, Maverick Scientists, and Iconoclasts-- the Programmers Who Created the Software Revolution",3
64,1,"Red Rabbit (Jack Ryan, #2)",3
65,1,The Anubis Gates,4
66,1,"The Complete Sherlock Holmes, Volume II",4
67,1,Leadership on the Line: Staying Alive Through the Dangers of Leading,5
68,1,Red Sparrow (Red Sparrow Trilogy #1),3
69,1,Personal History,5
70,1,Street Boys,4
71,1,Pride and Prejudice,5
72,1,Business @ the Speed of Thought: Succeeding in the Digital Economy,4
73,1,Personal Finance for Dummies,4
74,1,"A Clash of Kings (A Song of Ice and Fire, #2)",5
75,1,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",4
76,1,"The Amber Spyglass (His Dark Materials, #3)",4
77,1,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",4
78,1,Fear and Loathing in Las Vegas,3
79,1,The Worlds of a Maasai Warrior: An Autobiography,5
80,1,Frankenstein,4
81,1,Blood Diamonds: Tracing the Deadly Path of the World's Most Precious Stones,4
82,1,White Hunters: The Golden Age of African Safaris,4
83,1,The Garden of the Gods (Corfu Trilogy #3),5
84,1,The Complete Works,5
85,1,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),5
86,1,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",5
87,1,The Indispensable Calvin and Hobbes,5
88,1,The Scarlet Letter,3
89,1,In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,4
90,1,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,4
91,1,Homo Deus: A History of Tomorrow,4
92,1,Streets of Laredo,3
93,1,Killing Rommel,4
94,1,Stranger in a Strange Land,5
95,1,"Where'd You Go, Bernadette",5
96,1,Dune,5
97,1,Shoe Dog: A Memoir by the Creator of NIKE,5
98,1,Where the Sidewalk Ends,5
99,1,Phenomena: The Secret History of the U.S. Government's Investigations into Extrasensory Perception and Psychokinesis,3
100,1,Dark Matter,3
101,1,Go the Fuck to Sleep,5
102,1,Reamde,5
103,1,"A Storm of Swords (A Song of Ice and Fire, #3)",5
104,1,"Go, Dog. Go!",5
105,1,"The Color of Magic (Discworld, #1; Rincewind, #1)",3
106,1,Last Call: The Rise and Fall of Prohibition,3
107,1,"The Hunt for Red October (Jack Ryan, #3)",4
108,1,Think and Grow Rich,5
109,1,"The Complete Sherlock Holmes, Volume I",5
110,1,Dune Messiah (Dune Chronicles #2),4
111,1,"God Emperor of Dune (Dune Chronicles, #4)",4
112,1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
113,1,"The Girl Who Played with Fire (Millennium, #2)",3
114,1,"Shift (Shift, #1-3; Silo, #2)",3
115,1,Where the Wild Things Are,5
116,1,Coders at Work: Reflections on the Craft of Programming,3
117,1,Red Hat Linux 8 Bible [With 3 CDROMs],3
118,1,No Ordinary Moments: A Peaceful Warrior's Guide to Daily Life,5
119,1,Their Eyes Were Watching God,4
120,1,"Dust (Silo, #3)",4
121,1,The Iliad,4
122,1,"Red Mars (Mars Trilogy, #1)",4
123,1,Microserfs,4
124,1,They Call Me Coach,5
125,1,Giants of Enterprise: Seven Business Innovators and the Empires They Built,3
126,1,"The Celestine Prophecy (Celestine Prophecy, #1)",4
127,1,Raising the Bar: Integrity and Passion in Life and Business: The Story of Clif Bar Inc.,4
128,1,As I Lay Dying,2
129,1,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,5
130,1,"The Bourne Identity (Jason Bourne, #1)",4
131,1,Fahrenheit 451,5
132,1,Jack: Straight from the Gut,3
133,1,Boyd: The Fighter Pilot Who Changed the Art of War,4
134,1,Artemis,3
135,1,"The Bourne Supremacy (Jason Bourne, #2)",4
136,1,Inventing L.A.: The Chandlers and Their Times,5
137,1,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",3
138,1,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",5
139,1,"Neuromancer (Sprawl, #1)",4
140,1,A Game of Thrones (A Song of Ice and Fire #1),5
141,1,"Iron War: Dave Scott, Mark Allen, & the Greatest Race Ever Run",4
142,1,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",5
143,1,Starship Troopers,4
144,1,My Life,5
145,1,"Watership Down (Watership Down, #1)",5
146,1,Way of the Peaceful Warrior,5
147,1,"Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School",4
148,1,"Neverwhere (London Below, #1)",4
149,1,Post Captain (Aubrey & Maturin #2),5
150,1,Into the Wild,3
151,1,Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace,5
152,1,"Crazy Rich Asians (Crazy Rich Asians, #1)",4
153,1,"Unbroken: A World War II Story of Survival, Resilience and Redemption",5
154,1,"The Pillars of the Earth (Kingsbridge, #1)",5
155,1,"High Performance MySQL: Optimization, Backups, Replication & Load Balancing",5
156,1,James and the Giant Peach,4
157,1,Principles: Life and Work,5
158,1,"The Hobbit, or There and Back Again",5
159,1,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,5
160,1,Sphere,2
161,1,Islandia,5
162,1,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4
163,1,"From Russia With Love (James Bond, #5)",5
164,1,Island of the Blue Dolphins,4
165,1,Heretics of Dune (Dune Chronicles #5),4
166,1,"Assault at Selonia (Star Wars: The Corellian Trilogy, #2)",3
167,1,Born a Crime: Stories from a South African Childhood,5
168,1,"Speaker for the Dead (Ender's Saga, #2)",4
169,1,"Mystery of the Whale Tattoo (Hardy Boys, #47)",5
170,1,Frommer's Spain 2006,4
171,1,The Orphan Master's Son,3
172,1,"Mystery of the Flying Express (The Hardy Boys, #20)",5
173,1,"Doctor No (James Bond, #6)",4
174,1,Don't Make Me Think: A Common Sense Approach to Web Usability,4
175,1,Born Standing Up: A Comic's Life,4
176,1,Bossypants,4
177,1,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",5
178,1,Cryptonomicon,5
179,1,Venture Capitalists At Work: How VCs Identify And Build Billion Dollar Successes,5
180,1,"Fall of Giants (The Century Trilogy, #1)",4
181,1,Vanity Fair's How a Book is Born: The Making of The Art of Fielding,4
182,1,"The Big Sleep (Philip Marlowe, #1)",5
183,1,"The Bombay Boomerang (Hardy Boys, #49)",5
184,1,It's Not about the Bike: My Journey Back to Life,5
185,1,The Big Short: Inside the Doomsday Machine,5
186,1,Stardust,5
187,1,"The Path to Power (The Years of Lyndon Johnson, Vol 1)",5
188,1,Doggies: A Counting and Barking Book,5
189,1,"Goldfinger (James Bond, #7)",4
190,1,Snow Crash,4
191,1,My Inventions,4
192,1,The Obesity Code: Unlocking the Secrets of Weight Loss,5
193,1,DREAMERS IN DREAM CITY,5
194,1,The Great Train Robbery,2
195,1,"The Power of One (The Power of One, #1)",5
196,1,"Jurassic Park (Parque Jurásico, #1)",4
197,1,Tribe: On Homecoming and Belonging,4
198,1,The Catcher in the Rye,5
199,1,"Daemon (Daemon, #1)",3
200,1,His Dark Materials (His Dark Materials #1-3),5
201,1,Stephen Hawking's Universe,4
202,1,Interface,2
203,1,The Pragmatic Programmer: From Journeyman to Master,5
204,1,Treat Your Own Back,5
205,1,"Pleased, but not Satisfied",5
206,1,Free: The Future of a Radical Price,5
207,1,"Anne of Green Gables (Anne of Green Gables, #1)",5
208,1,"Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency",4
209,1,Steve Jobs,5
210,1,The Great Gatsby,5
211,1,"Executive Orders (Jack Ryan, #8)",3
212,1,The Grapes of Wrath,3
213,1,Congo,2
214,1,Anna Karenina: Illustrated,5
215,1,Morgan: American Financier,3
216,1,"Hatchet (Brian's Saga, #1)",5
217,1,"Rainbow Six (John Clark, #2; Jack Ryan Universe, #10)",3
218,1,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",4
219,1,"Toujours Provence (Provence, #2)",4
220,1,Treasure Island,5
221,1,The Handmaid's Tale,4
222,1,West with the Night,5
223,1,Corduroy,5
224,1,My Family and Other Animals (Corfu Trilogy #1),5
225,1,Gates of Fire,5
226,1,Java in a Nutshell,4
227,1,"French Kids Eat Everything: How Our Family Moved to France, Cured Picky Eating, Banned Snacking, and Discovered 10 Simple Rules for Raising Happy, Healthy Eaters",4
228,1,New York 2140,4
229,1,Porsche 911: Perfection by Design,5
230,1,"Jedi Search (Star Wars: The Jedi Academy Trilogy, #1)",3
231,1,Station Eleven,5
232,1,Next,3
233,1,Gates: How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America,4
234,1,Mutant Message Down Under,4
235,1,The Call of the Wild,5
236,1,Web Standards Solutions: The Markup and Style Handbook,4
237,1,The Case Against Sugar,5
238,1,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",5
239,1,Joel on Software,4
240,1,A Midsummer Night's Dream,4
241,1,Into Thin Air: A Personal Account of the Mount Everest Disaster,4
242,1,Corvette: Fifty Years,4
243,1,Into Africa: The Epic Adventures of Stanley & Livingstone,5
244,1,Aurora,4
